
Instance 2, instances/MDG-a_2_n500_m50.txt
0.2, 7742.64, 20, 441, 7711.1, 30, 612, 7742.44, 40, 786, 7734.8, 50, 1012, 
0.3, 7700.06, 20, 282, 7738.47, 30, 423, 7705.87, 40, 568, 7733.33, 50, 695, 
0.4, 7700.25, 20, 222, 7718.44, 30, 335, 7755.63, 40, 440, 7697.27, 50, 553, 
0.5, 7729.31, 20, 191, 7722.31, 30, 295, 7715.76, 40, 387, 7742.27, 50, 483, 
0.6, 7690.96, 20, 182, 7718.83, 30, 271, 7740.72, 40, 359, 7719.87, 50, 457, 
0.7, 7722.29, 20, 169, 7695.34, 30, 260, 7740.17, 40, 342, 7715.76, 50, 427, 
0.8, 7730.09, 20, 172, 7703.09, 30, 257, 7720.38, 40, 341, 7729.44, 50, 427, 
0.9, 7701.48, 20, 171, 7706.33, 30, 255, 7689.33, 40, 337, 7713.97, 50, 420, 

Instance 5, instances/MDG-a_5_n500_m50.txt
0.2, 7704.44, 20, 378, 7689.54, 30, 573, 7711.52, 40, 762, 7725.17, 50, 942, 
0.3, 7707.11, 20, 275, 7692.69, 30, 411, 7702.28, 40, 547, 7733.57, 50, 688, 
0.4, 7702.89, 20, 221, 7740.05, 30, 322, 7751.27, 40, 427, 7691.42, 50, 547, 
0.5, 7688.86, 20, 187, 7667.02, 30, 285, 7687.67, 40, 382, 7717.54, 50, 482, 
0.6, 7693.59, 20, 178, 7749.75, 30, 268, 7706.58, 40, 356, 7725.54, 50, 450, 
0.7, 7727.91, 20, 171, 7699.58, 30, 254, 7742.29, 40, 346, 7692.14, 50, 432, 
0.8, 7737.42, 20, 169, 7689.62, 30, 251, 7672.41, 40, 330, 7728.44, 50, 424, 
0.9, 7680.63, 20, 169, 7741.23, 30, 256, 7704.38, 40, 336, 7727.85, 50, 424, 

Instance 6, instances/MDG-a_6_n500_m50.txt
0.2, 7733.84, 20, 391, 7739.74, 30, 572, 7756.01, 40, 768, 7748.07, 50, 940, 
0.3, 7734.61, 20, 273, 7732.27, 30, 420, 7746.0, 40, 553, 7744.52, 50, 689, 
0.4, 7698.84, 20, 216, 7736.97, 30, 333, 7713.52, 40, 434, 7746.93, 50, 550, 
0.5, 7715.68, 20, 193, 7745.27, 30, 286, 7737.0, 40, 383, 7741.37, 50, 476, 
0.6, 7727.74, 20, 182, 7730.32, 30, 268, 7746.08, 40, 357, 7735.24, 50, 447, 
0.7, 7707.17, 20, 174, 7714.69, 30, 259, 7715.2, 40, 344, 7769.97, 50, 433, 
0.8, 7730.46, 20, 169, 7713.23, 30, 256, 7759.56, 40, 339, 7746.75, 50, 421, 
0.9, 7709.32, 20, 168, 7735.8, 30, 254, 7747.44, 40, 334, 7764.11, 50, 420, 

Instance 9, instances/MDG-a_9_n500_m50.txt
0.2, 7720.66, 20, 369, 7736.86, 30, 548, 7733.37, 40, 741, 7741.25, 50, 936, 
0.3, 7718.29, 20, 267, 7729.12, 30, 415, 7740.58, 40, 542, 7753.97, 50, 678, 
0.4, 7728.83, 20, 212, 7722.19, 30, 324, 7717.7, 40, 429, 7739.72, 50, 534, 
