360.15, 360.15, 360.15, 360.15, 360.15, 360.15, 360.15, 360.15, 
355.72, 355.72, 355.72, 355.72, 355.72, 355.72, 355.72, 355.72, 
355.5, 355.5, 355.5, 355.5, 355.5, 355.5, 355.5, 355.5, 
354.25, 354.25, 354.25, 354.25, 354.25, 354.25, 354.25, 354.25, 
356.06, 356.06, 356.06, 356.06, 356.06, 356.06, 356.06, 356.06, 
349.31, 349.31, 349.31, 349.31, 349.31, 349.31, 349.31, 349.31, 
7691.71, 7692.78, 7691.97, 7755.63, 7704.17, 7697.08, 7720.22, 7692.31, 
7735.97, 7675.41, 7721.21, 7737.42, 7673.3, 7699.83, 7678.07, 7658.52, 
7770.48, 7745.09, 7700.98, 7708.04, 7712.8, 7724.76, 7687.29, 7715.8, 
7737.24, 7730.27, 7711.98, 7722.94, 7710.4, 7712.44, 7692.07, 7736.72, 
7760.59, 7716.15, 7769.99, 7793.55, 7710.22, 7712.85, 7736.56, 7747.53, 
7751.5, 7743.52, 7720.37, 7732.86, 7721.77, 7754.67, 7708.31, 7697.36, 
7692.81, 7681.85, 7724.98, 7688.07, 7688.61, 7730.7, 7729.88, 7762.3, 
7735.25, 7731.0, 7708.98, 7681.4, 7676.95, 7693.27, 7660.84, 7697.0, 
7664.67, 7694.55, 7701.91, 7696.15, 7695.86, 7701.41, 7670.67, 7657.7, 
